model,horizon_day,wmape_error_pct,mae_error_usd,trend_accuracy_pct,macro_trend_accuracy_pct
GRU-15,1,1.82,2.09,47.6,94.71
GRU-15,2,3.47,4.06,68.75,94.71
GRU-15,3,5.79,6.95,74.52,94.71
GRU-15,4,6.64,8.1,78.85,94.71
GRU-15,5,7.36,9.1,83.65,94.71
GRU-15,6,8.74,11.01,83.65,94.71
GRU-15,7,9.35,11.92,85.1,94.71
GRU-15,8,9.82,12.63,87.02,94.71
GRU-15,9,9.55,12.28,87.02,94.71
GRU-15,10,12.04,16.0,89.42,94.71
GRU-15,11,12.19,16.28,90.87,94.71
GRU-15,12,13.29,18.03,90.87,94.71
GRU-15,13,13.45,18.31,91.35,94.71
GRU-15,14,13.72,18.78,93.27,94.71
GRU-15,15,14.01,19.28,93.27,94.71
GRU-15,16,14.61,20.27,92.79,94.71
GRU-15,17,15.33,21.48,92.79,94.71
GRU-15,18,15.34,21.63,93.27,94.71
GRU-15,19,15.68,22.21,93.75,94.71
GRU-15,20,15.75,22.35,93.27,94.71
GRU-15,21,15.88,22.59,93.27,94.71
GRU-15,22,16.19,23.14,93.75,94.71
GRU-15,23,16.45,23.59,93.75,94.71
GRU-15,24,16.55,23.78,93.75,94.71
GRU-15,25,16.57,23.82,93.75,94.71
GRU-15,26,16.77,24.17,93.75,94.71
GRU-15,27,16.79,24.22,93.75,94.71
GRU-15,28,16.98,24.56,93.75,94.71
GRU-15,29,17.09,24.74,94.23,94.71
GRU-15,30,17.22,24.98,94.71,94.71
Single GRU,1,2.04,2.34,50.48,95.19
Single GRU,2,3.49,4.08,68.75,95.19
Single GRU,3,5.67,6.81,74.04,95.19
Single GRU,4,6.45,7.87,79.33,95.19
Single GRU,5,7.2,8.91,83.65,95.19
Single GRU,6,8.56,10.79,85.58,95.19
Single GRU,7,8.96,11.42,85.58,95.19
Single GRU,8,9.48,12.19,86.06,95.19
Single GRU,9,9.18,11.81,86.06,95.19
Single GRU,10,11.74,15.6,88.94,95.19
Single GRU,11,11.95,15.96,89.9,95.19
Single GRU,12,13.0,17.63,90.87,95.19
Single GRU,13,13.13,17.88,91.35,95.19
Single GRU,14,13.45,18.41,91.83,95.19
Single GRU,15,13.74,18.9,91.83,95.19
Single GRU,16,14.35,19.91,92.31,95.19
Single GRU,17,15.04,21.07,91.83,95.19
Single GRU,18,15.04,21.2,92.79,95.19
Single GRU,19,15.39,21.81,94.23,95.19
Single GRU,20,15.48,21.96,92.31,95.19
Single GRU,21,15.6,22.19,94.23,95.19
Single GRU,22,15.88,22.7,94.23,95.19
Single GRU,23,16.11,23.11,94.23,95.19
Single GRU,24,16.21,23.29,94.23,95.19
Single GRU,25,16.21,23.3,94.71,95.19
Single GRU,26,16.4,23.65,94.23,95.19
Single GRU,27,16.42,23.69,94.71,95.19
Single GRU,28,16.6,24.01,94.71,95.19
Single GRU,29,16.68,24.15,95.19,95.19
Single GRU,30,16.82,24.39,95.19,95.19
GRU-45,1,1.74,1.99,49.04,95.67
GRU-45,2,3.43,4.0,69.71,95.67
GRU-45,3,5.77,6.93,77.88,95.67
GRU-45,4,6.73,8.21,81.73,95.67
GRU-45,5,7.58,9.37,84.62,95.67
GRU-45,6,8.93,11.25,84.62,95.67
GRU-45,7,9.3,11.86,86.06,95.67
GRU-45,8,9.71,12.48,86.54,95.67
GRU-45,9,9.37,12.05,87.5,95.67
GRU-45,10,11.82,15.71,89.9,95.67
GRU-45,11,11.9,15.9,90.87,95.67
GRU-45,12,12.96,17.57,90.87,95.67
GRU-45,13,13.06,17.78,91.35,95.67
GRU-45,14,13.32,18.22,91.83,95.67
GRU-45,15,13.61,18.73,91.83,95.67
GRU-45,16,14.22,19.73,91.35,95.67
GRU-45,17,14.94,20.93,91.35,95.67
GRU-45,18,14.96,21.09,91.83,95.67
GRU-45,19,15.28,21.65,93.27,95.67
GRU-45,20,15.35,21.79,93.27,95.67
GRU-45,21,15.47,22.0,93.27,95.67
GRU-45,22,15.8,22.57,93.27,95.67
GRU-45,23,15.99,22.94,93.75,95.67
GRU-45,24,16.08,23.1,93.75,95.67
GRU-45,25,16.1,23.14,93.75,95.67
GRU-45,26,16.28,23.47,94.23,95.67
GRU-45,27,16.28,23.48,94.23,95.67
GRU-45,28,16.46,23.8,94.23,95.67
GRU-45,29,16.51,23.91,95.67,95.67
GRU-45,30,16.61,24.1,95.67,95.67
