,id,tcgplayer_id,name,version,set_name,rarity,released_at,cost,inkwell,ink_clean,epid,collector_number
1,crd_a9c86e6316084d76a03b32be95977091,510148,Hades,King of Olympus,The First Chapter,Enchanted,8/18/2023,8,FALSE,Amber,19072736900,205
2,crd_35c968e4b25945e897940860221f9d51,510152,Stitch,Carefree Surfer,The First Chapter,Enchanted,8/18/2023,7,TRUE,Amber,23072744342,206
3,crd_cbc18e77d7ec4d50bf19650a9a559686,510153,Elsa,Spirit of Winter,The First Chapter,Enchanted,8/18/2023,8,FALSE,Amethyst,18072744837,207
4,crd_5739e1f6076840cd901a1bc283ca6e96,510154,Mickey Mouse,Wayward Sorcerer,The First Chapter,Enchanted,8/18/2023,4,TRUE,Amethyst,12072723059,208
5,crd_ae7e91462bfc4861bbf97e99ed53a1c1,510155,Genie,On the Job,The First Chapter,Enchanted,8/18/2023,6,FALSE,Emerald,19072736956,209
6,crd_1a8604b7ba6c45e2bc8b32b0a70d08b5,510156,Mickey Mouse,Artful Rogue,The First Chapter,Enchanted,8/18/2023,7,FALSE,Emerald,18072744866,210
7,crd_7c621010e3e6471d9916eee4bcd0b11d,510157,Aladdin,Heroic Outlaw,The First Chapter,Enchanted,8/18/2023,7,TRUE,Ruby,27072739595,211
8,crd_f839f8a7cb9a47ae962503f3ea69bec5,510158,Maui,Hero to All,The First Chapter,Enchanted,8/18/2023,5,TRUE,Ruby,3072738592,212
9,crd_72fe56f4aa85484284d8e3632d06ad9b,510159,Aurora,Dreaming Guardian,The First Chapter,Enchanted,8/18/2023,5,TRUE,Sapphire,16072725824,213
10,crd_021c1d57c42d4fb7836097cbe9eacfb7,510161,Belle,Strange but Special,The First Chapter,Enchanted,8/18/2023,4,TRUE,Sapphire,19072736939,214
11,crd_80cf71e223cf491796609458b2866665,510162,Simba,Returned King,The First Chapter,Enchanted,8/18/2023,7,TRUE,Steel,18072744888,215
12,crd_b42271147bf14a5e89d33571e64abb6d,510163,Tinker Bell,Giant Fairy,The First Chapter,Enchanted,8/18/2023,6,TRUE,Steel,27072739647,216
13,crd_4cf391db31ba468f948bad5a20b0bc16,527802,Cinderella,Ballroom Sensation,Rise of the Floodborn,Enchanted,11/17/2023,1,TRUE,Amber,18072744875,205
14,crd_e97e4b9894fe4c9798b0d925092d3eea,527799,Snow White,Well Wisher,Rise of the Floodborn,Enchanted,11/17/2023,6,FALSE,Amber,19072736914,206
15,crd_19431b87131547d98fef8a693077a77e,527797,Arthur,Wizard's Apprentice,Rise of the Floodborn,Enchanted,11/17/2023,3,FALSE,Amethyst,18072744891,207
16,crd_26dd3cd037974467a3c4078d58f4ae25,528107,Madam Mim,Purple Dragon,Rise of the Floodborn,Enchanted,11/17/2023,7,TRUE,Amethyst,22072735420,208
17,crd_67714955a33e4508913f44b8ccb08e5c,528108,Pete,Bad Guy,Rise of the Floodborn,Enchanted,11/17/2023,5,TRUE,Emerald,23072744410,209
18,crd_458325805fc445799aabfe4c4046f89b,527800,Beast,Relentless,Rise of the Floodborn,Enchanted,11/17/2023,6,TRUE,Emerald,25072727226,210
19,crd_e08d7a85c4e84f1e83a7521ff9c15a89,528109,Lady Tremaine,Imperious Queen,Rise of the Floodborn,Enchanted,11/17/2023,6,FALSE,Ruby,8072737745,211
20,crd_9c3f1e9961584a3ca4c8c32241d25d0b,528110,Shere Khan,Menacing Predator,Rise of the Floodborn,Enchanted,11/17/2023,3,TRUE,Ruby,18072744902,212
21,crd_3f0711ce8e06486a8bde68218e75d360,528111,Alice,Growing Girl,Rise of the Floodborn,Enchanted,11/17/2023,3,TRUE,Sapphire,21072745388,213
22,crd_f9edf9a591974716b2d7f02764f93737,528112,Sisu,Divine Water Dragon,Rise of the Floodborn,Enchanted,11/17/2023,4,FALSE,Sapphire,28072746928,214
23,crd_42ef053d7aab445fa7b0a2bf2e028864,528113,Hercules,Divine Hero,Rise of the Floodborn,Enchanted,11/17/2023,6,TRUE,Steel,28072746950,215
24,crd_8b02499c992945e2990cb669d7468256,527798,Namaari,Morning Mist,Rise of the Floodborn,Enchanted,11/17/2023,4,FALSE,Steel,20072735565,216
25,crd_7a288d030d1a471fbb818ccfdddc6052,539156,Chernabog,Evildoer,Into the Inklands,Enchanted,2/23/2024,10,FALSE,Amber,15072740119,205
26,crd_ae42b2ab4e074f3e91c29d4ba2c3e601,539273,Kida,Protector of Atlantis,Into the Inklands,Enchanted,2/23/2024,5,TRUE,Amber,14072726714,206
27,crd_bbb647e1cbe3487baa2ad65b27a999ba,539157,Pride Lands,Pride Rock,Into the Inklands,Enchanted,2/23/2024,2,FALSE,Amber,22072735446,207
28,crd_3ecab24376cb4cd5989309e000f797c1,539158,Jafar,Striking Illusionist,Into the Inklands,Enchanted,2/23/2024,7,TRUE,Amethyst,22072735435,208
29,crd_40690491af114f2e810a6fd1c6ddcafa,539159,Maleficent,Mistress of All Evil,Into the Inklands,Enchanted,2/23/2024,5,TRUE,Amethyst,25072727170,209
