id,cost,strength,willpower,lore,ink,type_clean,keywords,classifications,illustrators,flavor_text
crd_a9407e39c2ee47869d7a634aa46a7f04,8,5,5,4,Ruby,Character,Evasive,"c(""Dreamborn"", ""Hero"")",Nicholas Kole,"When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination."
crd_f8c86fca55d8453da9c1c6a39a5164dd,6,3,5,3,Amber,Character,Shift,"c(""Floodborn"", ""Hero"", ""Alien"")",Simangaliso Sibaya,The best part about a beachside concert is that there's always room for one more.
crd_d01b88e57beb41db97537585ad763334,3,2,3,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Queen"", ""Sorcerer"")",Nicholas Kole,"Recreated by magical ink, Elsa found herself in an unfamiliar new world. Fortunately, ice works the same way everywhere."
crd_09435d146f0844b3ac864e77a8ac746d,2,1,3,1,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"")",Nicholas Kole,"When she stops by, misery is company."
crd_4962196e0306474a8191dc8624c1b7ef,9,7,5,2,Ruby,Character,character(0),"c(""Storyborn"", ""Villain"", ""Dragon"")",Luis Huerta,"The ninth Rule of Villainy: When all else fails, turn into a dragon."
crd_ca25b4581bec448ca5dc7f742615aea8,6,4,4,2,Sapphire,Character,character(0),"c(""Storyborn"", ""Hero"")",John Loren,"""We never rob. We just sort of borrow a bit from those who can afford it."""
crd_d41a4c80d657424e855e6e3f06caccb8,1,1,2,1,Steel,Character,Challenger,"c(""Dreamborn"", ""Villain"", ""Pirate"", ""Captain"")",Marcel Berg,He loves to make light of a foe's predicament.
crd_a4e2a291ea24493f8974e6ba5f2ec64d,3,1,3,1,Sapphire,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Detective"")",Jared Nickerl,"Wherever the seaweed had come from, Mickey was sure of one thing: something fishy was going on."
crd_34cb2d9dcb664dd590e7122735212e37,1,1,2,1,Amber,Character,Support,"c(""Storyborn"", ""Ally"")",Jenna Gray,"""Sometimes, our strengths lie beneath the surface. Far beneath, in some cases....""
-Moana"
crd_d5ae36cf042240b6b63968ee83fb113e,2,2,2,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Hadjie Joos,"""When I want your opinion, I will give it to you!"""
crd_e81b8a65eb1f4006a70ca1cc89adc3b2,6,2,7,2,Steel,Character,Bodyguard,"c(""Dreamborn"", ""Hero"", ""Musketeer"")",Jochem Van Gool,
crd_ca9423d0bba546db977330274d8928ff,5,3,6,1,Amber,Character,Bodyguard,"c(""Dreamborn"", ""Hero"", ""Musketeer"")",Jochem Van Gool,"""En gawrsh!"""
