char,n_cards,mean_resid,premium_log,premium_pct
Elsa,2,1.1760842516428633,0.5227041118412725,0.6865821958094993
Winnie the Pooh,1,1.5869300622189666,0.453408589205419,0.5736670385389033
Ariel,3,0.6398542928285872,0.34901143245195665,0.4176653976408905
Jasmine,3,0.6218131006061558,0.33917078214881224,0.4037830658305911
Dumbo,1,1.0568929325422483,0.3019694092977852,0.3525198515446196
Eeyore,1,1.0515721890223482,0.30044919686352806,0.3504652961247509
It Means No Worries,1,1.035598092553994,0.2958851693011411,0.34431577924816137
The Return of Hercules,1,0.9718608338589516,0.27767452395970044,0.32005648052539337
Mufasa,1,0.9703992012293003,0.27725691463694296,0.3195053277238436
Tramp,1,0.8145172410308179,0.23271921172309082,0.26202706716659746
Snow White,2,0.5171219244999556,0.22983196644442472,0.25838854066222633
Simba,2,0.5085140770106538,0.22600625644917943,0.25358350823516385
Spooky Sight,1,0.7644379901936063,0.21841085434103036,0.24409810573816865
All Is Found,1,0.7284008252068226,0.20811452148766357,0.23135417798676935
I2I,1,0.6326343568176176,0.18075267337646217,0.19811881596409006
Into the Unknown,1,0.6131786893241804,0.17519391123548012,0.1914772350357925
Baymax,1,0.5511214099602819,0.15746325998865196,0.1705377516213936
Powerline,1,0.5460593180517295,0.15601694801477983,0.16884601254149906
Cinderella,3,0.28406157233316937,0.15494267581809237,0.16759102798621828
Bambi,1,0.532574046118846,0.15216401317681313,0.1643511897098079
You Came Back,1,0.49050163299689853,0.14014332371339958,0.15043867218435222
Mickey Mouse,6,0.1941389674535222,0.13703927114366274,0.146873186657719
The Sorcerer's Hat,1,0.47598159323225,0.13599474092349997,0.14567586838198224
The Cold Never Bothered Me,1,0.4493897029076619,0.12839705797361767,0.13700436973273053
Aladdin,1,0.4460120649477872,0.12743201855651062,0.13590764497494107
Goliath,1,0.4342608918567752,0.12407454053050719,0.13210025520772475
Circle of Life,1,0.42414530699024233,0.12118437342578352,0.12883301999303018
Mother Gothel,1,0.4165978303249602,0.11902795152141721,0.12640140248126114
Demona,1,0.4049970813535113,0.11571345181528894,0.12267412580477167
Wrong Lever!,1,0.395411021638453,0.11297457761098656,0.1196034695918395
Pride Lands,1,0.3762472270211368,0.10749920772032479,0.11348997855070807
Stitch,2,0.23919270295411366,0.10630786797960606,0.11216422355747613
Aurora,2,0.23538187857901072,0.10461416825733809,0.11028214560828402
Tinker Bell,1,0.34651888436521006,0.09900539553291715,0.10407225660101459
Scar,2,0.22036055745251737,0.09793802553445216,0.10289443169748642
Ohana Means Family,1,0.33901482511397685,0.09686137860399338,0.10170764278394039
The Headless Horseman,1,0.33839290783501497,0.09668368795286142,0.10151189702714758
Scrooge McDuck,2,0.21450654356825627,0.09533624158589167,0.1000286683332958
Minnie Mouse,2,0.20911787394863302,0.09294127731050356,0.09739729125554901
"Next Stop, Olympus",1,0.3165064069736445,0.09043040199246985,0.09464531985720406
Can't Hold it Back Anymore,1,0.29351922608216263,0.08386263602347503,0.08747950303967908
Chip 'n' Dale,1,0.28300386042589576,0.08085824583597022,0.08421719337111068
RLS Legacy,1,0.2715303114969667,0.07758008899913334,0.08066877867369233
Angel,1,0.2530677653766755,0.07230507582190729,0.07498324544101884
Chernabog,1,0.24622557727702477,0.07035016493629279,0.07288380177390845
Belle,4,0.11407170315809112,0.07019797117420992,0.0727205279767806
Max Goof,1,0.24104350598972246,0.0688695731399207,0.07129647420060505
Lady,1,0.2401946219023099,0.0686270348292314,0.0710366752703754
Genie,2,0.13986643875500127,0.06216286166888945,0.06413563752212541
Rapunzel,1,0.20742095327108512,0.05926312950602432,0.061054398730999236
Tiana,1,0.20737542292254751,0.059250120835013576,0.06104059591318
Freeze the Vine,1,0.20607232924588104,0.05887780835596601,0.06064563078833023
We Don't Talk About Bruno,1,0.1988252336512777,0.056807209614650765,0.05845173140672728
Tigger,1,0.19579736868825304,0.055942105339500864,0.05753645625015602
Kuzco's Palace,1,0.19252998390077547,0.05500856682879299,0.056549665916823214
Kuzco,1,0.1899112131942564,0.0542603466269304,0.055759429784698944
Darkwing Duck,1,0.18240280209102622,0.05211508631172177,0.053496978618602094
Prince Naveen,1,0.17774737974758903,0.05078496564216829,0.05209663203345828
Ariel’s Grotto,1,0.16640513778528554,0.04754432508151015,0.048692683479784775
Snuggly Duckling,1,0.1630097320558912,0.046574209158826055,0.04767582332540154
Anna,2,0.09245363426758146,0.04109050411892509,0.041946401719373895
Morph,1,0.12733083890427777,0.0363802396869365,0.03705009913595533
Mushu,1,0.12179012456296512,0.03479717844656146,0.035409684101000746
Hades,3,0.060521820254974955,0.03301190195725907,0.03356284058885352
The Glass Slipper,1,0.10492670491539702,0.02997905854725629,0.030432954964538003
Diablo,1,0.0955430464814162,0.02729801328040463,0.027674017638356425
Alice,1,0.09448254752717578,0.026995013579193077,0.027362679888073747
Ratigan's Party,1,0.08074860227988712,0.02307102922282489,0.023339223955592188
Mad Hatter,1,0.07883173466648241,0.022523352761852116,0.022778918598074474
Beast,2,0.04852941515460829,0.021568628957603683,0.021802913199934305
And Then Along Came Zeus,1,0.03827825483843483,0.010936644239552809,0.010996667952922728
Maui,1,0.024189973275765553,0.006911420935933015,0.0069353599246402544
We Could Be Immortals,1,0.021406956482619144,0.006116273280748327,0.006135015872290691
Devil's Eye Diamond,1,-0.0048514283002449865,-0.0013861223714985674,-0.001385162147598036
Tamatoa,2,-0.014534153289192275,-0.006459623684085455,-0.006438805165733377
Nick Wilde,1,-0.03884654524949571,-0.011099012928427346,-0.011037646131228132
Robin Hood,2,-0.025108103131108894,-0.011159156947159509,-0.01109712451291224
Kida,1,-0.07292567680323536,-0.020835907658067244,-0.020620339913287936
Treasure Mountain,1,-0.07734051232238448,-0.022097289234966993,-0.021854932563404744
Moana,1,-0.0847134012995916,-0.024203828942740455,-0.023913265247001925
Show Me More!,1,-0.09332575904516016,-0.026664502584331472,-0.026312143508444782
Pocahontas,1,-0.09762858163203258,-0.027893880466295023,-0.027508438323288826
Look at This Family,1,-0.10713417042282991,-0.030609762977951403,-0.030146027835523333
Olaf,1,-0.12062741149441703,-0.034464974712690576,-0.033877822199253234
Perdita,1,-0.1381974964930377,-0.03948499899801077,-0.03871562588875193
Piglet,1,-0.149738835134694,-0.04278252432419828,-0.041880264851883835
Colors of the Wind,1,-0.1672748373926911,-0.04779281068362603,-0.046668713325541004
The Sword of Hercules,1,-0.16876073367108502,-0.04821735247745286,-0.04707335640007107
Rafiki,1,-0.1706668346445923,-0.048761952755597804,-0.04759217922687631
Bad-Anon,1,-0.1738462250548376,-0.049670350015667886,-0.04845695104409482
The Sword of Shan-Yu,1,-0.19063527480465536,-0.054467221372758674,-0.053010450633470284
Jafar,3,-0.10758633133078217,-0.05868345345315391,-0.056994773035033065
Cruella De Vil,1,-0.20957788392857246,-0.05987939540816356,-0.05812187843909423
Negaduck,1,-0.21949265112339233,-0.06271218603525495,-0.06078624637372842
The Black Cauldron,1,-0.2289812687452386,-0.06542321964149674,-0.06332903806898714
The Horned King,1,-0.23079470594072582,-0.06594134455449309,-0.06381422492509088
Raging Storm,1,-0.23349950726070112,-0.06671414493162889,-0.06453743016250509
Peter Pan,1,-0.24038178214954975,-0.06868050918558564,-0.06637508298122055
Maleficent,1,-0.25256362736624016,-0.07216103639035433,-0.0696189414604184
Captain Hook,2,-0.16714276290617347,-0.07428567240274377,-0.07159356414260583
Judy Hopps,1,-0.26971359526757865,-0.07706102721930819,-0.07416664915253522
Daisy Duck,1,-0.2715144770239366,-0.07757556486398189,-0.0746429027285367
Gadget Hackwrench,1,-0.2722450575399069,-0.07778430215425912,-0.0748360391034769
Bolt,1,-0.2771462836618541,-0.07918465247481546,-0.07613068606147937
Namaari,1,-0.2822944318928995,-0.08065555196939984,-0.0774886060416805
Desperate Plan,1,-0.3052584097455018,-0.08721668849871479,-0.0835215162312762
Basil,1,-0.3117543757854806,-0.0890726787958516,-0.08522091388408207
Finders Keepers,1,-0.31808839640104747,-0.09088239897172784,-0.08687491096533594
Shere Khan,1,-0.3292582018766641,-0.09407377196476116,-0.08978438863013548
Maleficent's Staff,1,-0.3522726267444112,-0.10064932192697462,-0.09574992203288948
Captain Amelia,1,-0.3656116517180097,-0.10446047191943134,-0.09918959599062502
The Queen,1,-0.37534435213147876,-0.10724124346613678,-0.10169106431317922
Pongo,1,-0.3784609297758612,-0.10813169422167462,-0.10249060815362951
Hercules,1,-0.39664118304410323,-0.1133260522983152,-0.1071405062391479
Let's Get Dangerous,1,-0.39782953708073965,-0.11366558202306846,-0.107443607118517
Vanellope von Schweetz,1,-0.41440403409610393,-0.11840115259888684,-0.11166037862007155
Lilo,3,-0.2220645297196008,-0.12112610711978225,-0.11407776855279254
You're Welcome,1,-0.42477496015334637,-0.12136427432952752,-0.11428874105434435
Mirabel Madrigal,1,-0.43485997861475756,-0.12424570817564501,-0.1168371861026098
The Islands I Pulled From the Sea,1,-0.45003430414010914,-0.12858122975431688,-0.12065786922797545
Donald Duck,2,-0.2957050833120949,-0.13142448147204217,-0.12315450928178079
King Candy,1,-0.4611638936133704,-0.13176111246096298,-0.12344963296977558
Hiro Hamada,1,-0.46279076524537466,-0.1322259329272499,-0.12385697684188411
Clarabelle,1,-0.4733769876779519,-0.13525056790798626,-0.12650298605461155
Royal Tantrum,1,-0.47722992445797097,-0.1363514069879917,-0.12746403662576355
Yen Sid,1,-0.48210149807195535,-0.1377432851634158,-0.12867765558965108
Fantastical and Magical,1,-0.4989057575800695,-0.14254450216573414,-0.13285103657331382
Gramma Tala,1,-0.5143183058146188,-0.14694808737560536,-0.13666120556441433
Pete,1,-0.535563650805253,-0.153018185944358,-0.14188588394607587
"Malicious, Mean, and Scary",1,-0.5531389366771506,-0.1580396961934716,-0.14618411194492487
Arthur,2,-0.36493178931591075,-0.16219190636262698,-0.14972198487891367
Ratigan,1,-0.575023277067896,-0.16429236487654172,-0.15150608420571615
Sugar Rush Speedway,1,-0.5776230479049209,-0.16503515654426312,-0.15213610440063757
Webby Vanderquack,1,-0.583758104303528,-0.16678802980100801,-0.15362100055101444
Sisu,2,-0.37991351870640466,-0.16885045275840208,-0.1553647931930307
Tod,1,-0.6039436680996673,-0.17255533374276208,-0.15848827646977162
Baloo,1,-0.6818929430975862,-0.1948265551707389,-0.17702261314977713
Revive,1,-0.7058623412434595,-0.20167495464098842,-0.18263943597401452
Madam Mim,1,-0.7097737739501762,-0.20279250684290745,-0.1835523688520143
The Wall,1,-0.712427876289905,-0.2035508217971157,-0.18417125861370381
Second Star to the Right,1,-0.7965462789550175,-0.22758465113000498,-0.20354500217177698
Yzma,1,-0.8156147435427665,-0.23303278386936185,-0.20787239590926335
Mulan,2,-0.5437140051982841,-0.24165066897701512,-0.21466953006393552
Goofy,2,-0.545019300044931,-0.24223080001996933,-0.21512499252179398
Restoring Atlantis,1,-0.8590153685319089,-0.24543296243768822,-0.21763427007206926
Belle's House,1,-0.860049064971308,-0.24572830427751655,-0.2178653012878933
Ursula,2,-0.6078173681825891,-0.27014105252559517,-0.23672817467513904
Raya,1,-0.9456833281618557,-0.27019523661767303,-0.2367695307455722
Wreck-It Ralph,2,-0.6575644805787777,-0.2922508802572345,-0.25341879000986456
Archimedes,1,-1.0379496905567684,-0.29655705444479097,-0.25662678669179423
Lady Tremaine,2,-0.9706627863791439,-0.43140568283517505,-0.35040467236144535
