character,wiki_title,method,page_type,pageviews_12mo,log_pageviews
Aladdin,Aladdin (Disney character),search,character,64279.0,11.070988262792044
Alice,Cinderella (Disney character),search,character,84188.0,11.340807672259062
Angel,Angel (Lilo & Stitch),override,other,8760.0,9.077951183930438
Anna,Anna (Frozen),search,character,145503.0,11.887951983937826
Archimedes,The Sword in the Stone (film),override,film,1116.0,7.017506142941256
Ariel,Ariel (The Little Mermaid),search,character,276593.0,12.530302390589595
Arthur,The Sword in the Stone (film),override,film,1116.0,7.017506142941256
Aurora,Aurora (Sleeping Beauty),search,character,179428.0,12.097529292236521
Baloo,Baloo,search,character,85886.0,11.360776114480084
Bambi,Thumper (Bambi),search,character,41416.0,10.631422558581738
Basil,The Great Mouse Detective,override,other,253102.0,12.441547848517008
Baymax,List of Frozen characters,search,character,99660.0,11.509519671835395
Beast,Beast (Beauty and the Beast),override,other,451.0,6.111467339502679
Belle,Belle (Disney character),search,character,136624.0,11.824987906147387
Bolt,Bolt (2008 film),override,film,316476.0,12.665002688307288
Captain Amelia,Treasure Planet,override,other,490408.0,13.102992976684783
Captain Hook,Tinker Bell (Disney character),search,character,78293.0,11.268213478237927
Chernabog,Tia Dalma,search,character,162364.0,11.99759600725936
Chip 'n' Dale,Chip 'n' Dale,override,character,149727.0,11.916568914866124
Cinderella,Cinderella (Disney character),search,character,84188.0,11.340807672259062
Clarabelle,Clarabelle Cow,search,character,76911.0,11.250404188176947
Cruella De Vil,Cruella de Vil,search,character,277886.0,12.534966236627836
Daisy Duck,Daisy Duck,search,character,85712.0,11.358748118120742
Darkwing Duck,Scrooge McDuck,search,character,234620.0,12.365722463059711
Demona,Gargoyles (TV series),search,other,235052.0,12.367562045243986
Diablo,Maleficent,search,character,154400.0,11.947301916572814
Donald Duck,Donald Duck,search,character,305629.0,12.630127227060187
Dumbo,Aurora (Sleeping Beauty),search,character,179428.0,12.097529292236521
Eeyore,Winnie the Pooh (Disney character),search,character,121298.0,11.706005606750045
Elsa,Elsa (Frozen),search,character,280511.0,12.544368218862248
Gadget Hackwrench,Chip 'n' Dale,search,character,149727.0,11.916568914866124
Gaston,Gaston (Beauty and the Beast),search,character,80219.0,11.292515673527074
Genie,Genie (Disney),search,character,109203.0,11.600963814443052
Goliath,Gargoyles (TV series),override,other,235052.0,12.367562045243986
Goofy,Goofy,search,character,301013.0,12.61490873216715
Gramma Tala,Moana (2016 film),override,film,948731.0,13.762880581140985
Grandmother Willow,Willow (TV series),search,other,208097.0,12.245759596131728
Hades,Meg (Hercules),search,character,63383.0,11.05695096566842
Hercules,Meg (Hercules),search,character,63383.0,11.05695096566842
Hiro Hamada,Hiro Takachiho,search,character,31813.0,10.367630290261705
Jafar,Jafar (Aladdin),search,character,92728.0,11.437425755568581
Jasmine,Jasmine (Aladdin),search,character,167793.0,12.03048635581613
Jiminy Cricket,Jiminy Cricket,search,character,131994.0,11.790511745989964
Judy Hopps,Moana (character),search,character,208418.0,12.247300957492316
Kaa,Kaa,search,character,68645.0,11.136703575331705
Kida,Atlantis: The Lost Empire,search,other,584458.0,13.278440201025049
King Candy,Tiana (The Princess and the Frog),search,character,156243.0,11.959167766595098
Kristoff,Kristoff (Frozen),search,character,82783.0,11.323978005283882
Kuzco,The Emperor's New School,search,other,93172.0,11.442202526351245
Lady,Cinderella (Disney character),search,character,84188.0,11.340807672259062
Lady Tremaine,Lady Tremaine,search,character,58523.0,10.977175118345029
Lilo,Lilo & Stitch (2002 film),override,film,615.0,6.421622267806518
Mad Hatter,Mad Hatter,search,character,117854.0,11.677201849239276
Madam Mim,Merlin (Disney),search,character,16358.0,9.702472353294919
Maleficent,Maleficent,search,character,154400.0,11.947301916572814
Maui,Maui (Moana),search,character,132060.0,11.791011643748563
Max Goof,Max Goof,search,character,90286.0,11.410737688625636
Megara,Meg (Hercules),search,character,63383.0,11.05695096566842
Merlin,Merlin (Disney),search,character,16358.0,9.702472353294919
Mickey Mouse,Mickey Mouse,search,character,765634.0,13.548459527748179
Minnie Mouse,Minnie Mouse,search,character,196072.0,12.186237217696062
Mirabel Madrigal,Mirabel Madrigal,search,character,92479.0,11.434736870698954
Moana,Moana (character),search,character,208418.0,12.247300957492316
Morph,Morph (X-Men: The Animated Series and X-Men '97 character),search,character,,
Mother Gothel,Mother Gothel,search,character,89090.0,11.397402373714689
Mufasa,Mufasa,search,character,100464.0,11.51755473335389
Mulan,Mulan (Disney character),search,character,116437.0,11.665105633185503
Mushu,Mushu,search,character,56392.0,10.940082583453712
Namaari,Raya (Disney character),search,character,36918.0,10.516454515968546
Negaduck,Magica De Spell,search,character,39797.0,10.591546811547127
Nick Wilde,Ursula (The Little Mermaid),search,character,237797.0,12.379172647515842
Olaf,Olaf (Frozen),search,character,117735.0,11.676191615229024
Pegasus,Hercules (1997 film),override,film,658092.0,13.39710001816306
Perdita,Cruella de Vil,search,character,277886.0,12.534966236627836
Pete,Pete (Disney),search,character,175522.0,12.075519670156991
Peter Pan,Tinker Bell (Disney character),search,character,78293.0,11.268213478237927
Piglet,Winnie the Pooh (Disney character),search,character,121298.0,11.706005606750045
Pocahontas,Pocahontas (character),search,character,74936.0,11.224389694888966
Pongo,Cruella de Vil,search,character,277886.0,12.534966236627836
Powerline,Max Goof,search,character,90286.0,11.410737688625636
Prince Naveen,Tiana (The Princess and the Frog),search,character,156243.0,11.959167766595098
Rafiki,Simba,search,character,171025.0,12.0495650236292
Rapunzel,Rapunzel (Tangled),search,character,173626.0,12.064658839579296
Ratigan,Ursula (The Little Mermaid),search,character,237797.0,12.379172647515842
Raya,Raya (Disney character),search,character,36918.0,10.516454515968546
Robin Hood,Robin Hood (1973 film),override,film,327771.0,12.70007047279989
Scar,Scar (The Lion King),search,character,164353.0,12.009771832652572
Scrooge McDuck,Scrooge McDuck,search,character,234620.0,12.365722463059711
Shere Khan,Shere Khan,search,character,115104.0,11.65359134649535
Simba,Simba,search,character,171025.0,12.0495650236292
Sisu,Raya (Disney character),search,character,36918.0,10.516454515968546
Snow White,Snow White (Disney character),search,character,126838.0,11.750665960631407
Stitch,Stitch (Lilo & Stitch),search,character,665388.0,13.408125608138791
Tamatoa,Moana (character),search,character,208418.0,12.247300957492316
The Headless Horseman,Ichabod Crane,search,character,189489.0,12.152086254326393
The Horned King,List of Amphibia characters,search,character,26515.0,10.18546588957123
The Queen,Snow White (Disney character),search,character,126838.0,11.750665960631407
Tiana,Tiana (The Princess and the Frog),search,character,156243.0,11.959167766595098
Tigger,Tigger,search,character,101537.0,11.52817854305803
Tinker Bell,Tinker Bell (Disney character),search,character,78293.0,11.268213478237927
Tod,The Fox and the Hound,search,other,469754.0,13.059964432407101
Tramp,Lady and the Tramp,override,other,353496.0,12.775627448837488
Ursula,Ursula (The Little Mermaid),search,character,237797.0,12.379172647515842
Vanellope von Schweetz,Moana (character),search,character,208418.0,12.247300957492316
Webby Vanderquack,Duck family (Disney),search,character,60650.0,11.012874914372196
Winnie the Pooh,Winnie the Pooh (Disney character),search,character,121298.0,11.706005606750045
Wreck-It Ralph,Moana (character),search,character,208418.0,12.247300957492316
Yen Sid,Fantasia (1940 film),override,film,543563.0,13.20590089418912
Yzma,The Emperor's New Groove,search,other,592645.0,13.292350847789361
