tier,premium_log,multiplier_vs_market,n_listings
BGS_10,2.7612936197634506,15.820295163200258,40
TAG_10,2.1452402789916394,8.544093956951961,63
PSA_10,1.8374737602039684,6.280651770485543,1591
ACE_10,1.6057765256190977,4.981726539442882,50
BGS_9.5,1.3974563958329538,4.04489825060925,63
CGC_10,1.261937946767605,3.5322601909226865,168
TAG_9,0.825439368638622,2.2828835724595335,22
graded_other,0.7914881086636676,2.206677760452732,121
BGS_9,0.6535241268128049,1.922303346796661,23
PSA_9,0.536857305571269,1.7106224422043572,620
raw_hi,0.507299925638676,1.660800849747281,2734
raw_lo,0.4590177584221666,1.5825188055700379,3455
CGC_9,0.4221935450757942,1.525303711138797,19
raw_mid,0.3288334161318304,1.3893463936127548,2271
justtcg,0.0,1.0,315
PSA_8,-0.6445711756794924,0.5248875784117794,58
