model,horizon_day,mape_error_pct,mae_error_usd,trend_accuracy_pct
GRU-15,1,0.39,0.29,28.24
GRU-15,2,0.72,0.65,40.0
GRU-15,3,1.19,1.01,41.76
GRU-15,4,1.39,1.3,51.18
GRU-15,5,1.58,1.45,56.47
GRU-15,6,1.84,1.67,61.76
GRU-15,7,2.05,1.77,61.18
GRU-15,8,2.39,2.4,61.18
GRU-15,9,2.67,2.63,61.18
GRU-15,10,2.93,3.0,61.18
GRU-15,11,3.0,3.05,59.41
GRU-15,12,3.23,3.28,64.71
GRU-15,13,3.3,3.25,64.12
GRU-15,14,3.78,3.73,61.76
GRU-15,15,4.07,4.0,65.29
GRU-15,16,4.24,4.1,67.65
GRU-15,17,4.59,4.3,63.53
GRU-15,18,4.81,4.7,65.29
GRU-15,19,5.07,4.85,60.0
GRU-15,20,5.75,5.35,61.18
GRU-15,21,5.91,5.5,62.94
GRU-15,22,6.48,5.86,61.18
GRU-15,23,6.58,6.02,63.53
GRU-15,24,6.8,6.11,62.94
GRU-15,25,7.03,6.25,64.71
GRU-15,26,7.54,6.59,60.0
GRU-15,27,7.64,6.76,64.12
GRU-15,28,7.9,7.33,60.59
GRU-15,29,8.05,7.69,61.76
GRU-15,30,8.08,7.72,61.76
Single GRU,1,0.41,0.28,29.41
Single GRU,2,0.75,0.62,42.35
Single GRU,3,1.24,0.96,51.76
Single GRU,4,1.53,1.26,55.29
Single GRU,5,1.67,1.35,62.94
Single GRU,6,1.87,1.51,68.24
Single GRU,7,2.15,1.66,68.82
Single GRU,8,2.45,2.1,70.59
Single GRU,9,2.7,2.25,68.82
Single GRU,10,2.84,2.5,71.76
Single GRU,11,2.87,2.5,71.18
Single GRU,12,3.07,2.66,72.94
Single GRU,13,3.16,2.62,74.12
Single GRU,14,3.5,2.95,74.71
Single GRU,15,3.77,3.17,74.71
Single GRU,16,3.96,3.25,76.47
Single GRU,17,4.21,3.38,75.29
Single GRU,18,4.43,3.76,74.12
Single GRU,19,4.58,3.84,73.53
Single GRU,20,5.26,4.39,71.76
Single GRU,21,5.51,4.53,72.35
Single GRU,22,6.07,4.89,72.94
Single GRU,23,6.09,5.01,74.12
Single GRU,24,6.28,5.03,74.12
Single GRU,25,6.5,5.19,74.12
Single GRU,26,6.98,5.5,73.53
Single GRU,27,7.11,5.64,74.12
Single GRU,28,7.32,6.22,72.94
Single GRU,29,7.41,6.6,74.71
Single GRU,30,7.44,6.59,73.53
GRU-45,1,0.37,0.26,26.47
GRU-45,2,0.67,0.62,41.18
GRU-45,3,1.11,0.97,49.41
GRU-45,4,1.31,1.23,51.18
GRU-45,5,1.52,1.37,54.71
GRU-45,6,1.73,1.53,57.65
GRU-45,7,1.95,1.67,61.76
GRU-45,8,2.24,2.3,62.35
GRU-45,9,2.49,2.53,58.24
GRU-45,10,2.67,2.8,60.59
GRU-45,11,2.73,2.84,59.41
GRU-45,12,2.97,3.0,67.06
GRU-45,13,3.11,3.05,67.06
GRU-45,14,3.6,3.52,63.53
GRU-45,15,3.83,3.76,65.29
GRU-45,16,4.08,3.89,68.82
GRU-45,17,4.29,4.05,65.29
GRU-45,18,4.6,4.46,67.65
GRU-45,19,4.8,4.58,65.88
GRU-45,20,5.52,5.12,64.71
GRU-45,21,5.76,5.26,64.71
GRU-45,22,6.32,5.63,67.06
GRU-45,23,6.38,5.78,68.82
GRU-45,24,6.51,5.79,67.65
GRU-45,25,6.86,5.99,68.82
GRU-45,26,7.29,6.3,67.65
GRU-45,27,7.42,6.45,68.82
GRU-45,28,7.59,7.02,68.82
GRU-45,29,7.72,7.38,69.41
GRU-45,30,7.71,7.42,68.82
